Yontem,Metraj,BF,Matrah,KDV20,Tevkifat_4_10,Tahsil_KDV_6_10,Fatura_Tahsil
Kirik,11773.4,450.0,5298030.0,1059606.0,423842.4,635763.6,5933793.6
Duz,11295.7,750.0,8471775.0,1694355.0,677742.0,1016613.0,9488388.0
