Senaryo,Birim_TL_m2,Kirik_metraj_tutar_TL
Piyasa işçilik ALT,300,3532020.0
Piyasa/okul ORTA,420,4944828.0
Kullanıcı KIRIK,470,5533498.0
Piyasa işçilik ÜST,650,7652710.0
Kullanıcı DÜZ,750,8830050.0
ÇŞB tam poz 2026 tahmini,890,10478326.0
ÇŞB tam poz 2026 Nis.,917,10796208.0
